Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
2133,00:01:25.320,15.213888888888889,8.494930555555555,8.5728125,28.573923611111113
2134,00:01:25.360,15.204288194444445,8.43234375,8.829774305555556,28.350746527777776
2135,00:01:25.400,15.46345486111111,8.676128472222222,8.741440972222222,28.972795138888888
2136,00:01:25.440,19.498645833333335,11.7628125,10.91782986111111,35.81529513888889
2137,00:01:25.480,14.602511574074077,7.801510416666667,8.979253472222222,27.026770833333334
2138,00:01:25.520,14.76267939814815,7.8065625,8.957864583333333,27.523611111111112
2139,00:01:25.560,13.599930555555554,6.5984375,8.582552083333333,25.618802083333332
2140,00:01:25.600,14.029670138888887,6.852986111111111,8.574409722222223,26.661614583333332
2141,00:01:25.640,17.51609375,9.011284722222221,10.508194444444445,33.02880208333333
2142,00:01:25.680,13.588628472222224,6.929982638888889,8.085850694444444,25.750052083333333
2143,00:01:25.720,12.695306712962962,6.347378472222222,7.895295138888889,23.84324652777778
2144,00:01:25.760,11.63590277777778,5.673854166666667,7.491701388888889,21.74215277777778
2145,00:01:25.800,11.062505787037038,5.134253472222222,7.335503472222222,20.717760416666668
2146,00:01:25.840,15.34984375,7.171111111111111,10.328645833333333,28.549774305555555
2147,00:01:25.880,9.25449074074074,4.100121527777778,6.407934027777777,17.255416666666665
2148,00:01:25.920,9.143518518518517,3.9522569444444446,6.438628472222222,17.039670138888887
2149,00:01:25.960,9.222019675925926,4.27671875,6.145434027777778,17.24390625
2150,00:01:26.000,9.233859953703703,4.302534722222222,6.0325,17.36654513888889
2151,00:01:26.040,11.41666087962963,4.884270833333333,8.03888888888889,21.326822916666668
2152,00:01:26.080,8.386944444444444,3.6563541666666666,5.601128472222222,15.903350694444445
2153,00:01:26.120,8.04015625,3.660295138888889,5.325138888888889,15.135034722222223
2154,00:01:26.160,8.42525462962963,3.8613368055555557,5.389670138888889,16.024756944444444
2155,00:01:26.200,12.349403935185185,6.195260416666667,7.66140625,23.191545138888888
2156,00:01:26.240,11.192517361111113,5.293975694444445,7.494704861111111,20.78887152777778
2157,00:01:26.280,6.662725694444444,3.170625,4.329670138888889,12.487881944444444
2158,00:01:26.320,8.392905092592594,4.693524305555556,4.637048611111111,15.848142361111112
2159,00:01:26.360,6.796429398148149,3.4008506944444443,4.144236111111111,12.844201388888889
2160,00:01:26.400,9.550034722222222,5.901666666666666,4.725920138888889,18.02251736111111
2161,00:01:26.440,9.964253472222222,4.7428125,6.389878472222223,18.760069444444444
2162,00:01:26.480,6.30734375,2.6430729166666667,4.201822916666667,12.077135416666666
2163,00:01:26.520,6.321892361111111,2.8902430555555556,4.028072916666667,12.047361111111112
2164,00:01:26.560,6.713159722222223,3.0646006944444446,4.219357638888889,12.855520833333333
2165,00:01:26.600,5.5859143518518515,2.441892361111111,3.5752083333333333,10.740642361111112
2166,00:01:26.640,9.110578703703704,3.789513888888889,6.146527777777778,17.395694444444445
2167,00:01:26.680,6.383755787037036,3.0008854166666667,4.023229166666667,12.127152777777777
2168,00:01:26.720,5.8403935185185185,2.6075173611111113,3.5893229166666667,11.324340277777777
2169,00:01:26.760,7.743674768518518,4.069895833333334,4.164756944444444,14.996371527777777
2170,00:01:26.800,5.597193287037037,2.1194270833333335,3.797795138888889,10.874357638888888
2171,00:01:26.840,8.029467592592594,3.0608506944444445,5.590017361111111,15.437534722222223
2172,00:01:26.880,5.623923611111111,2.1969791666666665,3.776059027777778,10.89873263888889
2173,00:01:26.920,5.423327546296297,2.1502083333333335,3.7363715277777776,10.383402777777778
2174,00:01:26.960,6.02513888888889,2.8402430555555553,3.6417361111111113,11.5934375
2175,00:01:27.000,5.062181712962963,2.0259722222222223,3.333263888888889,9.827309027777778
2176,00:01:27.040,7.932644675925926,3.33109375,5.172690972222222,15.294149305555555
2177,00:01:27.080,5.471099537037038,2.495,3.247638888888889,10.670659722222222
2178,00:01:27.120,5.144079861111112,2.305295138888889,3.1089930555555556,10.01795138888889
2179,00:01:27.160,4.992048611111111,2.274114583333333,3.042309027777778,9.659722222222221
2180,00:01:27.200,5.505318287037038,2.44484375,3.2269791666666667,10.844131944444445
2181,00:01:27.240,7.6505324074074075,3.388333333333333,4.8585416666666665,14.704722222222221
2182,00:01:27.280,5.906313657407407,3.409565972222222,3.1016319444444442,11.207743055555556
2183,00:01:27.320,5.8330324074074085,2.8896354166666667,3.306770833333333,11.302690972222223
2184,00:01:27.360,6.559074074074075,3.5583506944444445,3.44921875,12.669652777777777
2185,00:01:27.400,6.500133101851851,3.603784722222222,3.224861111111111,12.671753472222223
2186,00:01:27.440,7.887719907407408,3.5218576388888887,4.900798611111111,15.240503472222223
2187,00:01:27.480,5.848587962962963,2.968159722222222,3.237829861111111,11.339774305555556
2188,00:01:27.520,5.205596064814815,2.5923958333333332,2.8422743055555557,10.182118055555556
2189,00:01:27.560,5.4994155092592605,2.94859375,2.950295138888889,10.59935763888889
2190,00:01:27.600,5.420260416666667,2.669236111111111,2.9617708333333335,10.629774305555555
2191,00:01:27.640,7.424542824074074,3.7503993055555553,4.052274305555556,14.47095486111111
2192,00:01:27.680,4.437390046296296,2.21203125,2.444565972222222,8.655572916666667
2193,00:01:27.720,4.492569444444444,2.2181076388888887,2.4591319444444446,8.80046875
2194,00:01:27.760,5.205972222222223,2.7269965277777777,2.6113541666666666,10.279565972222223
2195,00:01:27.800,7.614247685185185,4.035416666666666,3.9867013888888887,14.820625
2196,00:01:27.840,7.000480324074073,3.640034722222222,3.5326041666666668,13.828802083333333
2197,00:01:27.880,5.058460648148148,2.7813194444444442,2.2632291666666666,10.130833333333333
2198,00:01:27.920,4.179230324074074,2.0077604166666667,2.2511805555555555,8.27875
2199,00:01:27.960,4.8757928240740736,2.4857118055555554,2.5433333333333334,9.598333333333333
2200,00:01:28.000,4.818391203703704,2.36390625,2.447517361111111,9.64375
2201,00:01:28.040,7.693940972222222,3.5235243055555556,4.601822916666666,14.956475694444444
2202,00:01:28.080,4.737991898148148,2.1425868055555557,2.8160069444444447,9.255381944444444
2203,00:01:28.120,4.65125,2.278298611111111,2.610625,9.06482638888889
2204,00:01:28.160,3.711967592592593,1.5239583333333333,2.5054340277777776,7.106510416666667
2205,00:01:28.200,4.228321759259259,1.935625,2.5507291666666667,8.198611111111111
2206,00:01:28.240,6.742517361111111,3.1244444444444444,3.924704861111111,13.178402777777778
2207,00:01:28.280,13.140578703703703,6.7395659722222225,7.267951388888889,25.41421875
2208,00:01:28.320,17.6896875,9.13501736111111,11.17420138888889,32.75984375
2209,00:01:28.360,20.161429398148147,11.001527777777778,13.12326388888889,36.35949652777778
2210,00:01:28.400,20.671359953703703,10.355138888888888,14.147135416666666,37.511805555555554
2211,00:01:28.440,27.896568287037038,16.634184027777778,16.87625,50.179270833333334
2212,00:01:28.480,17.825526620370372,9.712309027777778,11.897100694444445,31.867170138888888
2213,00:01:28.520,17.542042824074073,8.887916666666667,10.972621527777777,32.765590277777775
2214,00:01:28.560,16.097170138888888,7.935052083333333,10.558923611111112,29.797534722222224
2215,00:01:28.600,15.718796296296297,8.133958333333334,10.961805555555555,28.060625
